vulnerability_id,asset_id,cve_id,severity,cvss_score,discovered_date,due_date,remediation_status,remediation_date,exploit_available,internet_exposed,business_impact
VUL-000202,AST-00114,CVE-2025-40956,MEDIUM,6.0,2026-03-20,2026-04-04,OPEN,,False,True,LOW
VUL-000203,AST-00114,CVE-2025-8719,CRITICAL,9.4,2026-04-20,2026-05-20,OPEN,,False,True,LOW
VUL-000204,AST-00114,CVE-2025-35856,LOW,1.1,2026-03-19,2026-06-17,OPEN,,True,True,LOW
VUL-000205,AST-00114,CVE-2025-33462,HIGH,7.5,2026-03-15,2026-04-14,REMEDIATED,2026-05-12,False,True,LOW
VUL-000206,AST-00114,CVE-2025-58958,LOW,3.2,2026-04-19,2026-06-18,REMEDIATED,2026-05-14,False,True,LOW
VUL-000207,AST-00115,CVE-2025-45766,HIGH,8.5,2026-03-26,2026-04-25,IN_PROGRESS,,False,False,HIGH
VUL-000208,AST-00115,CVE-2025-30862,HIGH,7.6,2026-04-23,2026-07-22,REMEDIATED,2026-04-28,False,False,HIGH
VUL-000209,AST-00115,CVE-2025-29166,MEDIUM,6.6,2026-04-05,2026-06-04,ACCEPTED_RISK,,True,False,HIGH
VUL-000210,AST-00115,CVE-2025-12857,LOW,0.6,2026-04-19,2026-05-04,OPEN,,False,False,HIGH
VUL-000211,AST-00116,CVE-2025-22669,MEDIUM,5.5,2026-04-08,2026-07-07,REMEDIATED,2026-06-21,False,False,HIGH
VUL-000212,AST-00116,CVE-2025-48319,MEDIUM,2026-05-01T14:23:38.249549,2026-04-24,2026-07-23,ACCEPTED_RISK,,False,False,HIGH
VUL-000213,AST-00116,CVE-2025-29505,CRITICAL,9.7,2026-04-27,2026-07-26,ACCEPTED_RISK,,True,False,HIGH
VUL-000214,AST-00117,CVE-2025-56069,MEDIUM,,2026-05-06,2026-06-05,REMEDIATED,2026-06-11,False,False,LOW
VUL-000215,AST-00117,CVE-2025-23903,CRITICAL,9.4,2026-04-22,2026-06-21,REMEDIATED,2026-05-28,False,False,LOW
VUL-000216,AST-00117,CVE-2025-16728,CRITICAL,9.1,2026-05-06,2026-07-05,REMEDIATED,2026-07-01,False,False,LOW
VUL-000217,AST-00119,CVE-2025-16208,LOW,0.2,2026-04-14,2026-06-13,REMEDIATED,2026-06-24,True,False,CRITICAL
VUL-000218,AST-00119,CVE-2025-12551,LOW,1001.0,2026-03-26,2026-04-25,REMEDIATED,2026-05-08,False,False,CRITICAL
VUL-000219,AST-00119,CVE-2025-20546,CRITICAL,9.6,2026-03-26,2026-06-24,REMEDIATED,2026-05-22,False,False,CRITICAL
VUL-000220,AST-00120,CVE-2025-46778,MEDIUM,5.8,2026-03-16,2026-03-31,OPEN,,True,False,LOW
VUL-000221,AST-00120,CVE-2025-21902,MEDIUM,6.6,2026-04-29,2026-07-28,REMEDIATED,2026-05-10,False,False,LOW
VUL-000222,AST-00121,CVE-2025-47442,MEDIUM,4.7,2026-03-16,2026-05-15,REMEDIATED,2026-05-08,False,True,HIGH
VUL-000223,AST-00121,CVE-2025-10142,LOW,2.7,2026-03-12,2026-03-27,REMEDIATED,2026-05-26,True,True,HIGH
VUL-000224,AST-00122,CVE-2025-41203,CRITICAL,9.9,2026-04-07,2026-07-06,REMEDIATED,2026-04-17,False,True,CRITICAL
VUL-000225,AST-00123,CVE-2025-3359,LOW,3.9,2026-04-08,2026-05-08,IN_PROGRESS,,False,False,LOW
VUL-000226,AST-00123,CVE-2025-31164,LOW,2.4,2026-05-05,2026-06-04,OPEN,,True,False,LOW
VUL-000227,AST-00124,CVE-2025-20200,LOW,3.7,2026-04-30,2026-05-15,REMEDIATED,2026-06-29,True,False,HIGH
VUL-000228,AST-00125,CVE-2025-44476,CRITICAL,9.4,2026-03-24,2026-06-22,REMEDIATED,2026-04-15,False,False,LOW
VUL-000229,AST-00125,CVE-2025-34149,LOW,2.8,2026-05-01,2026-07-30,ACCEPTED_RISK,,False,False,LOW
VUL-000230,AST-00125,CVE-2025-27653,MEDIUM,4.2,2026-04-05,2026-05-05,OPEN,,True,False,LOW
VUL-000231,AST-00126,CVE-2025-25135,HIGH,8.9,2026-04-23,2026-06-22,IN_PROGRESS,,False,False,LOW
VUL-000232,AST-00127,CVE-2025-33748,HIGH,8.5,2026-04-29,2026-05-29,OPEN,,False,False,LOW
VUL-000233,AST-00127,CVE-2025-31789,HIGH,8.0,2026-05-07,2026-07-06,REMEDIATED,2026-06-24,True,False,LOW
VUL-000234,AST-00128,CVE-2025-2484,HIGH,8.6,2026-04-26,2026-05-26,REMEDIATED,2026-06-14,False,False,MEDIUM
VUL-000235,AST-00129,CVE-2025-40559,HIGH,7.6,2026-05-08,2026-06-07,REMEDIATED,2026-06-25,False,False,LOW
VUL-000236,AST-00130,CVE-2025-7815,CRITICAL,9.6,2026-03-21,2026-06-19,ACCEPTED_RISK,,False,False,LOW
VUL-000237,AST-00131,CVE-2025-57979,MEDIUM,6.3,2026-05-06,2026-07-05,OPEN,,False,True,MEDIUM
VUL-000238,AST-00131,CVE-2025-34744,LOW,1.2,2026-04-15,2026-06-14,REMEDIATED,2026-04-21,False,True,MEDIUM
VUL-000239,AST-00131,CVE-2025-41868,HIGH,7.4,2026-03-24,2026-06-22,REMEDIATED,2026-04-27,False,True,MEDIUM
VUL-000240,AST-00131,CVE-2025-46185,CRITICAL,9.4,2026-04-30,2026-06-29,REMEDIATED,2026-06-16,False,True,MEDIUM
VUL-000241,AST-00133,CVE-2025-11463,HIGH,8.1,2026-04-25,2026-06-24,OPEN,,False,False,MEDIUM
VUL-000242,AST-00133,CVE-2025-48081,LOW,,2026-04-14,2026-04-29,REMEDIATED,2026-07-04,True,False,MEDIUM
VUL-000243,AST-00133,CVE-2025-57829,HIGH,8.8,2026-04-25,2026-05-10,OPEN,,False,False,MEDIUM
VUL-000244,AST-00134,CVE-2025-36921,MEDIUM,4.2,2026-04-25,2026-06-24,REMEDIATED,2026-07-18,False,False,MEDIUM
VUL-000245,AST-00139,CVE-2025-9473,HIGH,7.6,2026-04-27,2026-07-26,REMEDIATED,2026-05-27,False,True,CRITICAL
VUL-000246,AST-00139,CVE-2025-29278,MEDIUM,6.7,2026-04-30,2026-07-29,REMEDIATED,2026-06-14,False,True,CRITICAL
VUL-000247,AST-00140,CVE-2025-38358,MEDIUM,5.0,2026-03-13,2026-05-12,REMEDIATED,2026-05-20,False,False,LOW
VUL-000248,AST-00140,CVE-2025-37906,MEDIUM,6.0,2026-03-14,2026-05-13,REMEDIATED,2026-04-18,False,False,LOW
VUL-000249,AST-00142,CVE-2025-15696,LOW,1.2,2026-04-08,2026-06-07,ACCEPTED_RISK,,False,False,LOW
VUL-000250,AST-00142,CVE-2025-30696,CRITICAL,9.1,2026-03-27,2026-05-26,REMEDIATED,2026-05-17,False,False,LOW
VUL-000251,AST-00142,CVE-2025-5397,HIGH,8.2,2026-03-30,2026-04-29,OPEN,,False,False,LOW
VUL-000252,AST-00143,CVE-2025-14402,LOW,1.3,2026-03-18,2026-05-17,REMEDIATED,2026-04-29,True,False,LOW
VUL-000253,AST-00144,CVE-2025-10273,LOW,2025-10-02T14:23:38.249549,2026-03-31,2026-06-29,IN_PROGRESS,,False,True,LOW
VUL-000254,AST-00144,CVE-2025-12044,LOW,2.8,2026-03-19,2026-05-18,OPEN,,False,True,LOW
VUL-000255,AST-00144,CVE-2025-16306,LOW,0.9,2026-04-22,2026-05-07,OPEN,,False,True,LOW
VUL-000256,AST-00144,CVE-2025-54919,HIGH,7.3,2026-03-21,2026-04-05,REMEDIATED,2026-04-06,False,True,LOW
VUL-000257,AST-00144,CVE-2025-47360,LOW,1.3,2026-03-26,2026-04-25,REMEDIATED,2026-06-12,True,True,LOW
VUL-000258,AST-00145,CVE-2025-27649,MEDIUM,6.6,2026-04-24,2026-05-09,REMEDIATED,2026-05-29,True,False,LOW
VUL-000259,AST-00145,CVE-2025-48832,MEDIUM,4.6,2026-04-02,2026-04-17,IN_PROGRESS,,False,False,LOW
VUL-000260,AST-00145,CVE-2025-41855,LOW,0.9,2026-04-08,2026-06-07,REMEDIATED,2026-05-08,False,False,LOW
VUL-000261,AST-00146,CVE-2025-8600,HIGH,7.5,2026-04-13,2026-07-12,REMEDIATED,2026-06-20,False,False,CRITICAL
VUL-000262,AST-00147,CVE-2025-3584,LOW,2.0,2026-04-30,2026-05-15,IN_PROGRESS,,True,False,LOW
VUL-000263,AST-00148,CVE-2025-35622,HIGH,2025-08-13T14:23:38.249549,2026-04-05,2026-04-20,REMEDIATED,2026-06-16,False,True,MEDIUM
VUL-000264,AST-00148,CVE-2025-38504,MEDIUM,4.5,2026-03-28,2026-06-26,REMEDIATED,2026-05-18,True,True,MEDIUM
VUL-000265,AST-00148,CVE-2025-26726,MEDIUM,5.9,2026-04-03,2026-04-18,REMEDIATED,2026-04-16,False,True,MEDIUM
VUL-000266,AST-00148,CVE-2025-57529,HIGH,7.4,2026-03-27,2026-04-26,REMEDIATED,2026-04-20,False,True,MEDIUM
VUL-000267,AST-00149,CVE-2025-36904,LOW,3.4,2026-04-21,2026-05-06,OPEN,,False,False,MEDIUM
VUL-000268,AST-00149,CVE-2025-48328,LOW,,2026-05-03,2026-08-01,REMEDIATED,2026-06-18,True,False,MEDIUM
VUL-000269,AST-00149,CVE-2025-33315,LOW,2.4,2026-03-23,2026-04-22,REMEDIATED,2026-04-30,True,False,MEDIUM
VUL-000270,AST-00150,CVE-2025-24468,HIGH,7.7,2026-04-18,2026-05-03,OPEN,,False,False,LOW
VUL-000271,AST-00150,CVE-2025-26845,HIGH,8.4,2026-05-01,2026-05-31,REMEDIATED,2026-06-23,True,False,LOW
VUL-000272,AST-00150,CVE-2025-50482,LOW,1.3,2026-04-09,2026-04-24,REMEDIATED,2026-04-21,False,False,LOW
VUL-000273,AST-00152,CVE-2025-2488,HIGH,7.8,2026-04-04,2026-07-03,OPEN,,True,True,HIGH
VUL-000274,AST-00153,CVE-2025-51191,MEDIUM,4.7,2026-04-15,2026-07-14,REMEDIATED,2026-07-06,True,False,HIGH
VUL-000275,AST-00153,CVE-2025-39010,HIGH,,2026-05-07,2026-05-22,REMEDIATED,2026-06-21,False,False,HIGH
VUL-000276,AST-00153,CVE-2025-15122,CRITICAL,9.2,2026-04-23,2026-05-08,REMEDIATED,2026-05-23,False,False,HIGH
VUL-000277,AST-00153,CVE-2025-36501,HIGH,7.6,2026-04-15,2026-06-14,IN_PROGRESS,,False,False,HIGH
VUL-000278,AST-00154,CVE-2025-13222,LOW,2025-10-30T14:23:38.249549,2026-03-15,2026-04-14,REMEDIATED,2026-05-01,True,True,MEDIUM
VUL-000279,AST-00154,CVE-2025-21733,HIGH,7.6,2026-04-20,2026-05-20,OPEN,,False,True,MEDIUM
VUL-000280,AST-00154,CVE-2025-21369,LOW,3.1,2026-04-01,2026-04-16,ACCEPTED_RISK,,False,True,MEDIUM
VUL-000281,AST-00154,CVE-2025-47559,LOW,2.2,2026-03-23,2026-04-22,REMEDIATED,2026-06-05,False,True,MEDIUM
VUL-000282,AST-00155,CVE-2025-27948,HIGH,2026-03-11T14:23:38.249549,2026-03-18,2026-04-17,REMEDIATED,2026-04-22,False,True,MEDIUM
VUL-000283,AST-00155,CVE-2025-47642,MEDIUM,5.5,2026-04-21,2026-07-20,REMEDIATED,2026-05-31,False,True,MEDIUM
VUL-000284,AST-00155,CVE-2025-23623,MEDIUM,4.7,2026-04-09,2026-04-24,REMEDIATED,2026-06-04,False,True,MEDIUM
VUL-000285,AST-00156,CVE-2025-8268,MEDIUM,,2026-04-15,2026-04-30,REMEDIATED,2026-06-04,False,False,CRITICAL
VUL-000286,AST-00156,CVE-2025-47618,LOW,2.2,2026-03-20,2026-04-04,REMEDIATED,2026-04-16,True,False,CRITICAL
VUL-000287,AST-00156,CVE-2025-3034,MEDIUM,4.3,2026-05-06,2026-05-21,REMEDIATED,2026-06-28,False,False,CRITICAL
VUL-000288,AST-00156,CVE-2025-52294,HIGH,7.8,2026-05-06,2026-05-21,REMEDIATED,2026-06-01,False,False,CRITICAL
VUL-000289,AST-00157,CVE-2025-17174,HIGH,7.3,2026-04-23,2026-07-22,ACCEPTED_RISK,,False,False,MEDIUM
VUL-000290,AST-00157,CVE-2025-14002,HIGH,8.9,2026-03-12,2026-04-11,REMEDIATED,2026-03-28,False,False,MEDIUM
VUL-000291,AST-00158,CVE-2025-28786,MEDIUM,5.0,2026-04-20,2026-06-19,IN_PROGRESS,,True,False,LOW
VUL-000292,AST-00158,CVE-2025-33541,LOW,2.5,2026-05-10,2026-05-25,REMEDIATED,2026-07-06,False,False,LOW
VUL-000293,AST-00159,CVE-2025-48630,CRITICAL,9.7,2026-04-16,2026-07-15,IN_PROGRESS,,False,False,CRITICAL
VUL-000294,AST-00160,CVE-2025-52518,HIGH,7.4,2026-03-20,2026-04-19,REMEDIATED,2026-05-31,False,False,MEDIUM
VUL-000295,AST-00160,CVE-2025-38590,CRITICAL,2025-09-03T14:23:38.249549,2026-04-20,2026-07-19,REMEDIATED,2026-07-08,True,False,MEDIUM
VUL-000296,AST-00160,CVE-2025-46427,HIGH,7.1,2026-03-13,2026-05-12,REMEDIATED,2026-04-01,False,False,MEDIUM
VUL-000297,AST-00162,CVE-2025-54277,LOW,3.4,2026-04-07,2026-06-06,REMEDIATED,2026-05-06,False,False,HIGH
VUL-000298,AST-00164,CVE-2025-54169,LOW,3.4,2026-04-09,2026-06-08,OPEN,,True,False,CRITICAL
VUL-000299,AST-00164,CVE-2025-10056,CRITICAL,9.4,2026-04-24,2026-06-23,REMEDIATED,2026-06-17,False,False,CRITICAL
VUL-000300,AST-00164,CVE-2025-32106,CRITICAL,9.4,2026-03-23,2026-06-21,IN_PROGRESS,,False,False,CRITICAL
VUL-000301,AST-00165,CVE-2025-18753,LOW,2.6,2026-05-10,2026-05-25,REMEDIATED,2026-05-23,False,False,CRITICAL
VUL-000302,AST-00165,CVE-2025-8703,MEDIUM,4.5,2026-03-21,2026-05-20,OPEN,,False,False,CRITICAL
VUL-000303,AST-00165,CVE-2025-32877,HIGH,8.7,2026-04-05,2026-05-05,OPEN,,False,False,CRITICAL
VUL-000304,AST-00165,CVE-2025-7779,HIGH,7.0,2026-03-28,2026-04-12,REMEDIATED,2026-05-28,True,False,CRITICAL
VUL-000305,AST-00166,CVE-2025-57127,LOW,2.9,2026-03-30,2026-05-29,REMEDIATED,2026-04-13,False,False,CRITICAL
VUL-000306,AST-00166,CVE-2025-12385,CRITICAL,9.7,2026-03-11,2026-05-10,REMEDIATED,2026-03-27,False,False,CRITICAL
VUL-000307,AST-00166,CVE-2025-59130,HIGH,8.5,2026-03-17,2026-04-16,REMEDIATED,2026-05-05,False,False,CRITICAL
VUL-000308,AST-00166,CVE-2025-57324,MEDIUM,6.3,2026-03-31,2026-04-30,REMEDIATED,2026-06-12,False,False,CRITICAL
VUL-000309,AST-00167,CVE-2025-25796,MEDIUM,4.4,2026-04-05,2026-04-20,OPEN,,False,False,HIGH
VUL-000310,AST-00167,CVE-2025-58903,MEDIUM,5.0,2026-03-26,2026-06-24,REMEDIATED,2026-04-10,False,False,HIGH
VUL-000311,AST-00167,CVE-2025-5783,CRITICAL,9.5,2026-03-18,2026-06-16,IN_PROGRESS,,False,False,HIGH
VUL-000312,AST-00169,CVE-2025-17684,HIGH,7.6,2026-05-03,2026-05-18,OPEN,,False,False,LOW
VUL-000313,AST-00169,CVE-2025-12302,MEDIUM,5.3,2026-05-04,2026-06-03,REMEDIATED,2026-07-21,False,False,LOW
VUL-000314,AST-00169,CVE-2025-51160,MEDIUM,6.7,2026-03-13,2026-06-11,REMEDIATED,2026-05-23,False,False,LOW
VUL-000315,AST-00170,CVE-2025-31047,LOW,3.3,2026-03-25,2026-06-23,OPEN,,True,False,LOW
VUL-000316,AST-00171,CVE-2025-7213,MEDIUM,4.7,2026-03-15,2026-03-30,REMEDIATED,2026-05-02,True,False,LOW
VUL-000317,AST-00171,CVE-2025-38470,HIGH,8.4,2026-03-25,2026-04-09,REMEDIATED,2026-04-19,False,False,LOW
VUL-000318,AST-00171,CVE-2025-48115,LOW,0.7,2026-04-14,2026-07-13,REMEDIATED,2026-04-21,False,False,LOW
VUL-000319,AST-00172,CVE-2025-44819,HIGH,7.6,2026-03-30,2026-05-29,REMEDIATED,2026-05-26,False,False,LOW
VUL-000320,AST-00176,CVE-2025-54132,HIGH,,2026-03-24,2026-06-22,REMEDIATED,2026-06-12,True,False,LOW
VUL-000321,AST-00177,CVE-2025-39013,HIGH,7.8,2026-04-07,2026-07-06,IN_PROGRESS,,True,True,MEDIUM
VUL-000322,AST-00177,CVE-2025-39919,LOW,1.0,2026-03-20,2026-04-04,REMEDIATED,2026-05-29,True,True,MEDIUM
VUL-000323,AST-00177,CVE-2025-12534,HIGH,8.6,2026-04-13,2026-07-12,OPEN,,False,True,MEDIUM
VUL-000324,AST-00177,CVE-2025-21752,MEDIUM,4.8,2026-03-17,2026-06-15,IN_PROGRESS,,False,True,MEDIUM
VUL-000325,AST-00178,CVE-2025-30278,MEDIUM,5.5,2026-04-17,2026-06-16,REMEDIATED,2026-07-07,False,False,HIGH
VUL-000326,AST-00178,CVE-2025-9675,LOW,0.8,2026-04-10,2026-06-09,REMEDIATED,2026-04-20,False,False,HIGH
VUL-000327,AST-00178,CVE-2025-49705,LOW,0.3,2026-04-13,2026-05-13,REMEDIATED,2026-05-16,False,False,HIGH
VUL-000328,AST-00179,CVE-2025-50737,MEDIUM,4.0,2026-03-11,2026-05-10,OPEN,,True,False,HIGH
VUL-000329,AST-00179,CVE-2025-29356,CRITICAL,9.4,2026-03-23,2026-05-22,OPEN,,False,False,HIGH
VUL-000330,AST-00180,CVE-2025-47405,MEDIUM,5.1,2026-04-23,2026-07-22,REMEDIATED,2026-06-28,False,False,LOW
VUL-000331,AST-00181,CVE-2025-27177,HIGH,8.6,2026-04-04,2026-04-19,REMEDIATED,2026-05-24,False,False,LOW
VUL-000332,AST-00181,CVE-2025-17899,HIGH,7.8,2026-04-02,2026-05-02,REMEDIATED,2026-06-09,True,False,LOW
VUL-000333,AST-00181,CVE-2025-52545,MEDIUM,4.7,2026-04-18,2026-07-17,REMEDIATED,2026-06-28,False,False,LOW
VUL-000334,AST-00182,CVE-2025-48019,MEDIUM,,2026-04-29,2026-05-29,REMEDIATED,2026-07-17,False,False,LOW
VUL-000335,AST-00185,CVE-2025-13523,LOW,,2026-04-27,2026-06-26,OPEN,,True,False,MEDIUM
VUL-000336,AST-00185,CVE-2025-35955,HIGH,8.7,2026-03-28,2026-04-12,REMEDIATED,2026-06-09,False,False,MEDIUM
VUL-000337,AST-00186,CVE-2025-1828,MEDIUM,6.6,2026-05-05,2026-06-04,REMEDIATED,2026-07-11,False,False,MEDIUM
VUL-000338,AST-00186,CVE-2025-38445,LOW,0.5,2026-05-04,2026-07-03,IN_PROGRESS,,False,False,MEDIUM
VUL-000339,AST-00186,CVE-2025-46295,MEDIUM,4.9,2026-03-14,2026-06-12,REMEDIATED,2026-05-03,True,False,MEDIUM
VUL-000340,AST-00187,CVE-2025-47746,MEDIUM,,2026-03-27,2026-04-26,REMEDIATED,2026-04-21,True,False,CRITICAL
VUL-000341,AST-00187,CVE-2025-9702,HIGH,8.2,2026-04-28,2026-07-27,REMEDIATED,2026-06-18,False,False,CRITICAL
VUL-000342,AST-00188,CVE-2025-45363,MEDIUM,5.8,2026-04-04,2026-04-19,REMEDIATED,2026-06-06,False,False,LOW
VUL-000343,AST-00189,CVE-2025-50647,HIGH,7.2,2026-05-05,2026-07-04,REMEDIATED,2026-05-31,False,False,MEDIUM
VUL-000344,AST-00190,CVE-2025-1765,CRITICAL,9.7,2026-03-20,2026-05-19,IN_PROGRESS,,False,False,LOW
VUL-000345,AST-00190,CVE-2025-20507,MEDIUM,5.2,2026-03-13,2026-06-11,REMEDIATED,2026-03-22,False,False,LOW
VUL-000346,AST-00190,CVE-2025-37668,MEDIUM,5.5,2026-03-16,2026-05-15,OPEN,,False,False,LOW
VUL-000347,AST-00193,CVE-2025-22315,MEDIUM,5.1,2026-04-29,2026-06-28,REMEDIATED,2026-07-03,False,True,HIGH
VUL-000348,AST-00194,CVE-2025-40096,LOW,2.7,2026-03-28,2026-06-26,REMEDIATED,2026-06-14,False,False,CRITICAL
VUL-000349,AST-00194,CVE-2025-49765,MEDIUM,5.6,2026-03-13,2026-05-12,REMEDIATED,2026-05-28,False,False,CRITICAL
VUL-000350,AST-00194,CVE-2025-3052,MEDIUM,4.2,2026-03-22,2026-05-21,REMEDIATED,2026-05-26,True,False,CRITICAL
VUL-000351,AST-00197,CVE-2025-11993,HIGH,7.7,2026-03-11,2026-06-09,OPEN,,False,False,HIGH
VUL-000352,AST-00198,CVE-2025-19683,HIGH,7.3,2026-04-11,2026-05-11,IN_PROGRESS,,False,True,MEDIUM
VUL-000353,AST-00198,CVE-2025-53228,MEDIUM,5.2,2026-04-04,2026-05-04,REMEDIATED,2026-04-17,True,True,MEDIUM
VUL-000354,AST-00198,CVE-2025-48661,LOW,1.7,2026-04-02,2026-04-17,REMEDIATED,2026-06-12,True,True,MEDIUM
VUL-000355,AST-00199,CVE-2025-51383,LOW,3.6,2026-03-17,2026-04-16,REMEDIATED,2026-04-29,False,False,MEDIUM
VUL-000356,AST-00199,CVE-2025-19310,MEDIUM,5.8,2026-03-27,2026-04-26,OPEN,,True,False,MEDIUM
VUL-000357,AST-00199,CVE-2025-7339,CRITICAL,9.0,2026-03-21,2026-04-05,IN_PROGRESS,,False,False,MEDIUM
VUL-000358,AST-00200,CVE-2025-50232,CRITICAL,9.1,2026-03-22,2026-05-21,REMEDIATED,2026-06-06,False,True,CRITICAL
VUL-000359,AST-00200,CVE-2025-33358,LOW,3.3,2026-04-23,2026-07-22,REMEDIATED,2026-07-10,False,True,CRITICAL
VUL-000360,AST-00201,CVE-2025-33844,MEDIUM,6.7,2026-03-22,2026-04-06,IN_PROGRESS,,False,False,LOW
VUL-000361,AST-00203,CVE-2025-49506,MEDIUM,5.6,2026-04-18,2026-05-03,REMEDIATED,2026-06-18,False,False,MEDIUM
VUL-000362,AST-00203,CVE-2025-40729,LOW,3.2,2026-04-07,2026-05-07,OPEN,,False,False,MEDIUM
VUL-000363,AST-00204,CVE-2025-34521,MEDIUM,4.2,2026-04-08,2026-04-23,REMEDIATED,2026-05-24,False,False,MEDIUM
VUL-000364,AST-00204,CVE-2025-15568,MEDIUM,6.8,2026-03-18,2026-06-16,REMEDIATED,2026-06-08,False,False,MEDIUM
VUL-000365,AST-00205,CVE-2025-7692,LOW,3.9,2026-04-24,2026-07-23,REMEDIATED,2026-05-21,False,True,HIGH
VUL-000366,AST-00205,CVE-2025-14734,MEDIUM,4.0,2026-03-19,2026-04-18,REMEDIATED,2026-04-01,False,True,HIGH
VUL-000367,AST-00205,CVE-2025-4840,MEDIUM,6.6,2026-04-01,2026-05-31,REMEDIATED,2026-04-06,True,True,HIGH
VUL-000368,AST-00205,CVE-2025-6368,MEDIUM,4.4,2026-04-12,2026-06-11,REMEDIATED,2026-06-30,False,True,HIGH
VUL-000369,AST-00205,CVE-2025-27546,LOW,2.9,2026-05-03,2026-07-02,REMEDIATED,2026-06-07,False,True,HIGH
VUL-000370,AST-00205,CVE-2025-42866,CRITICAL,9.7,2026-04-05,2026-07-04,IN_PROGRESS,,True,True,HIGH
VUL-000371,AST-00206,CVE-2025-47835,LOW,0.6,2026-04-07,2026-05-07,REMEDIATED,2026-05-29,False,False,MEDIUM
VUL-000372,AST-00206,CVE-2025-2698,MEDIUM,6.2,2026-05-04,2026-06-03,REMEDIATED,2026-06-18,True,False,MEDIUM
VUL-000373,AST-00207,CVE-2025-5494,HIGH,8.9,2026-04-10,2026-05-10,OPEN,,True,False,HIGH
VUL-000374,AST-00207,CVE-2025-4591,LOW,0.5,2026-04-18,2026-07-17,REMEDIATED,2026-07-01,False,False,HIGH
VUL-000375,AST-00209,CVE-2025-3371,LOW,2.5,2026-04-04,2026-04-19,REMEDIATED,2026-05-30,False,True,LOW
VUL-000376,AST-00209,CVE-2025-38774,MEDIUM,5.7,2026-04-04,2026-04-19,IN_PROGRESS,,False,True,LOW
VUL-000377,AST-00209,CVE-2025-43074,MEDIUM,5.4,2026-04-08,2026-07-07,OPEN,,False,True,LOW
VUL-000378,AST-00209,CVE-2025-47883,CRITICAL,9.9,2026-04-02,2026-05-02,IN_PROGRESS,,False,True,LOW
VUL-000379,AST-00210,CVE-2025-14601,LOW,0.7,2026-03-13,2026-03-28,REMEDIATED,2026-03-28,False,False,LOW
VUL-000380,AST-00210,CVE-2025-4418,LOW,-3.8,2026-04-28,2026-06-27,REMEDIATED,2026-05-23,False,False,LOW
VUL-000381,AST-00211,CVE-2025-26254,MEDIUM,5.1,2026-03-28,2026-04-12,OPEN,,True,False,MEDIUM
VUL-000382,AST-00212,CVE-2025-12882,LOW,2.7,2026-05-10,2026-08-08,REMEDIATED,2026-05-23,False,False,MEDIUM
VUL-000383,AST-00212,CVE-2025-39791,HIGH,8.7,2026-03-24,2026-04-23,IN_PROGRESS,,False,False,MEDIUM
VUL-000384,AST-00212,CVE-2025-29286,MEDIUM,4.5,2026-05-06,2026-08-04,REMEDIATED,2026-05-22,True,False,MEDIUM
VUL-000385,AST-00214,CVE-2025-41277,LOW,3.1,2026-05-03,2026-06-02,IN_PROGRESS,,False,True,MEDIUM
VUL-000386,AST-00214,CVE-2025-51396,CRITICAL,9.6,2026-04-28,2026-05-13,REMEDIATED,2026-06-17,False,True,MEDIUM
VUL-000387,AST-00214,CVE-2025-54476,HIGH,7.4,2026-05-02,2026-05-17,REMEDIATED,2026-05-26,False,True,MEDIUM
VUL-000388,AST-00214,CVE-2025-38402,MEDIUM,6.0,2026-04-05,2026-04-20,IN_PROGRESS,,False,True,MEDIUM
VUL-000389,AST-00215,CVE-2025-4208,LOW,0.4,2026-04-22,2026-06-21,REMEDIATED,2026-05-17,False,False,CRITICAL
VUL-000390,AST-00215,CVE-2025-59324,HIGH,8.5,2026-05-10,2026-05-25,REMEDIATED,2026-06-19,False,False,CRITICAL
VUL-000391,AST-00215,CVE-2025-33739,LOW,2.8,2026-04-24,2026-07-23,IN_PROGRESS,,False,False,CRITICAL
VUL-000392,AST-00215,CVE-2025-58362,LOW,1.3,2026-03-20,2026-04-19,REMEDIATED,2026-06-05,False,False,CRITICAL
VUL-000393,AST-00216,CVE-2025-46371,LOW,0.2,2026-03-28,2026-05-27,ACCEPTED_RISK,,False,False,MEDIUM
VUL-000394,AST-00216,CVE-2025-55597,LOW,2.7,2026-04-15,2026-07-14,REMEDIATED,2026-05-18,False,False,MEDIUM
VUL-000395,AST-00216,CVE-2025-41544,HIGH,7.1,2026-04-09,2026-06-08,REMEDIATED,2026-05-19,False,False,MEDIUM
VUL-000396,AST-00217,CVE-2025-42097,MEDIUM,6.5,2026-04-11,2026-07-10,OPEN,,False,False,CRITICAL
VUL-000397,AST-00217,CVE-2025-7273,MEDIUM,6.3,2026-03-23,2026-06-21,REMEDIATED,2026-06-12,False,False,CRITICAL
VUL-000398,AST-00218,CVE-2025-34996,MEDIUM,5.9,2026-04-07,2026-07-06,REMEDIATED,2026-05-19,False,False,MEDIUM
VUL-000399,AST-00218,CVE-2025-50712,CRITICAL,10.0,2026-05-02,2026-07-31,REMEDIATED,2026-07-03,False,False,MEDIUM
VUL-000400,AST-00219,CVE-2025-18699,HIGH,7.6,2026-04-06,2026-07-05,REMEDIATED,2026-05-05,False,False,HIGH
VUL-000401,AST-00220,CVE-2025-11315,HIGH,7.2,2026-04-02,2026-07-01,REMEDIATED,2026-04-12,False,False,MEDIUM
VUL-000402,AST-00220,CVE-2025-33587,HIGH,8.7,2026-03-19,2026-05-18,REMEDIATED,2026-04-01,False,False,MEDIUM
